"No.","Time","Source","Destination","Protocol","Length","Info"
"2129","37.141235","10.0.1.200","10.0.1.20","TCP","74","59268  >  830 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4132063647 TSecr=0 WS=128"
"2130","37.141329","10.0.1.20","10.0.1.200","TCP","74","830  >  59268 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3449638746 TSecr=4132063647 WS=128"
"2131","37.141347","10.0.1.200","10.0.1.20","TCP","66","59268  >  830 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4132063647 TSecr=3449638746"
"2132","37.142385","10.0.1.20","10.0.1.200","TCP","88","830  >  59268 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=22 TSval=3449638747 TSecr=4132063647"
"2133","37.142405","10.0.1.200","10.0.1.20","TCP","66","59268  >  830 [ACK] Seq=1 Ack=23 Win=64256 Len=0 TSval=4132063648 TSecr=3449638747"
"2134","37.152667","10.0.1.200","10.0.1.79","TCP","74","38996  >  830 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=954349361 TSecr=0 WS=128"
"2135","37.152741","10.0.1.79","10.0.1.200","TCP","74","830  >  38996 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2327388369 TSecr=954349361 WS=128"
"2136","37.152756","10.0.1.200","10.0.1.79","TCP","66","38996  >  830 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=954349362 TSecr=2327388369"
"2137","37.153603","10.0.1.79","10.0.1.200","TCP","88","830  >  38996 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=22 TSval=2327388369 TSecr=954349362"
"2138","37.153617","10.0.1.200","10.0.1.79","TCP","66","38996  >  830 [ACK] Seq=1 Ack=23 Win=64256 Len=0 TSval=954349362 TSecr=2327388369"
"2139","37.165527","10.0.1.200","10.0.1.20","TCP","90","59268  >  830 [PSH, ACK] Seq=1 Ack=23 Win=64256 Len=24 TSval=4132063671 TSecr=3449638747"
"2140","37.165595","10.0.1.20","10.0.1.200","TCP","66","830  >  59268 [ACK] Seq=23 Ack=25 Win=65280 Len=0 TSval=3449638770 TSecr=4132063671"
"2141","37.166555","10.0.1.20","10.0.1.200","TCP","578","830  >  59268 [PSH, ACK] Seq=23 Ack=25 Win=65280 Len=512 TSval=3449638771 TSecr=4132063671"
"2142","37.166571","10.0.1.200","10.0.1.20","TCP","66","59268  >  830 [ACK] Seq=25 Ack=535 Win=64128 Len=0 TSval=4132063672 TSecr=3449638771"
"2143","37.166847","10.0.1.200","10.0.1.33","TCP","74","41736  >  830 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4252880909 TSecr=0 WS=128"
"2144","37.166950","10.0.1.33","10.0.1.200","TCP","74","830  >  41736 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3967324968 TSecr=4252880909 WS=128"
"2145","37.166973","10.0.1.200","10.0.1.33","TCP","66","41736  >  830 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4252880909 TSecr=3967324968"
"2146","37.167669","10.0.1.33","10.0.1.200","TCP","88","830  >  41736 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=22 TSval=3967324968 TSecr=4252880909"
"2147","37.167687","10.0.1.200","10.0.1.33","TCP","66","41736  >  830 [ACK] Seq=1 Ack=23 Win=64256 Len=0 TSval=4252880909 TSecr=3967324968"
"2148","37.178146","10.0.1.200","10.0.1.20","TCP","866","59268  >  830 [PSH, ACK] Seq=25 Ack=535 Win=64128 Len=800 TSval=4132063684 TSecr=3449638771"
"2149","37.178254","10.0.1.20","10.0.1.200","TCP","66","830  >  59268 [ACK] Seq=535 Ack=825 Win=64512 Len=0 TSval=3449638783 TSecr=4132063684"
"2150","37.178937","10.0.1.200","10.0.1.79","TCP","90","38996  >  830 [PSH, ACK] Seq=1 Ack=23 Win=64256 Len=24 TSval=954349388 TSecr=2327388369"
"2151","37.179022","10.0.1.79","10.0.1.200","TCP","66","830  >  38996 [ACK] Seq=23 Ack=25 Win=65280 Len=0 TSval=2327388395 TSecr=954349388"
"2152","37.179202","10.0.1.79","10.0.1.200","TCP","578","830  >  38996 [PSH, ACK] Seq=23 Ack=25 Win=65280 Len=512 TSval=2327388395 TSecr=954349388"
"2153","37.179212","10.0.1.200","10.0.1.79","TCP","66","38996  >  830 [ACK] Seq=25 Ack=535 Win=64128 Len=0 TSval=954349388 TSecr=2327388395"
"2154","37.187565","10.0.1.200","10.0.1.79","TCP","866","38996  >  830 [PSH, ACK] Seq=25 Ack=535 Win=64128 Len=800 TSval=954349396 TSecr=2327388395"
"2155","37.187641","10.0.1.79","10.0.1.200","TCP","66","830  >  38996 [ACK] Seq=535 Ack=825 Win=64512 Len=0 TSval=2327388403 TSecr=954349396"
"2156","37.188882","10.0.1.200","10.0.1.33","TCP","90","41736  >  830 [PSH, ACK] Seq=1 Ack=23 Win=64256 Len=24 TSval=4252880931 TSecr=3967324968"
"2157","37.188941","10.0.1.33","10.0.1.200","TCP","66","830  >  41736 [ACK] Seq=23 Ack=25 Win=65280 Len=0 TSval=3967324990 TSecr=4252880931"
"2158","37.189173","10.0.1.33","10.0.1.200","TCP","578","830  >  41736 [PSH, ACK] Seq=23 Ack=25 Win=65280 Len=512 TSval=3967324990 TSecr=4252880931"
"2159","37.189189","10.0.1.200","10.0.1.33","TCP","66","41736  >  830 [ACK] Seq=25 Ack=535 Win=64128 Len=0 TSval=4252880931 TSecr=3967324990"
"2160","37.195016","10.0.1.200","10.0.1.20","TCP","114","59268  >  830 [PSH, ACK] Seq=825 Ack=535 Win=64128 Len=48 TSval=4132063701 TSecr=3449638783"
"2161","37.195088","10.0.1.20","10.0.1.200","TCP","66","830  >  59268 [ACK] Seq=535 Ack=873 Win=64512 Len=0 TSval=3449638800 TSecr=4132063701"
"2162","37.198627","10.0.1.200","10.0.1.21","TCP","74","37572  >  830 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2075093060 TSecr=0 WS=128"
"2163","37.198705","10.0.1.21","10.0.1.200","TCP","74","830  >  37572 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=683643929 TSecr=2075093060 WS=128"
"2164","37.198722","10.0.1.200","10.0.1.21","TCP","66","37572  >  830 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2075093061 TSecr=683643929"
"2165","37.199283","10.0.1.21","10.0.1.200","TCP","88","830  >  37572 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=22 TSval=683643930 TSecr=2075093061"
