"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"10.0.1.200",59268,"10.0.1.20",830,54,17262,29,9218,25,8044,37.141235,6.534096999999996,11286.027740328931,9848.644732393786
"10.0.1.200",38996,"10.0.1.79",830,68,21802,35,12814,33,8988,37.152667,6.761792,15160.478169100736,10633.867471818123
"10.0.1.200",41736,"10.0.1.33",830,67,20328,34,11340,33,8988,37.166847,6.716581000000005,13506.872023131997,10705.446714630545
"10.0.1.200",37572,"10.0.1.21",830,71,29104,35,19918,36,9186,37.198627,6.768802000000001,23540.945650352896,10856.869502165966
"10.0.1.200",34398,"10.0.1.12",830,77,42268,40,33016,37,9252,37.200207,6.863174000000001,38484.81766599535,10784.514570080839
"10.0.1.200",36624,"10.0.1.41",830,74,33542,40,24488,34,9054,37.227522,6.691808999999999,29275.19300087615,10823.978986847953
"10.0.1.200",32980,"10.0.1.22",830,62,22830,32,14040,30,8790,37.250807,6.628543999999998,16944.897703024984,10608.664587577607
"10.0.1.200",44840,"10.0.1.2",830,73,40580,37,31394,36,9186,37.255088,6.780338999999998,37041.21578581839,10838.396133290684
"10.0.1.200",45924,"10.0.1.64",830,72,34834,38,25780,34,9054,37.25839,6.665075000000002,30943.38773382144,10867.394590458469
"10.0.1.200",45182,"10.0.1.42",830,73,43412,37,34226,36,9186,37.258569,6.844842999999997,40002.08624215342,10736.257939006056
"10.0.1.200",40914,"10.0.1.49",830,70,30446,36,21392,34,9054,37.25973,6.679622999999999,25620.607630101284,10843.725761169457
"10.0.1.200",60796,"10.0.1.56",830,71,36192,37,27138,34,9054,37.261429,6.8099380000000025,31880.46645945968,10636.220182915024
"10.0.1.200",37882,"10.0.1.47",830,66,30610,36,21832,30,8778,37.262532,6.671236999999998,26180.451991137485,10526.38363769718
"10.0.1.200",39470,"10.0.1.31",830,76,37946,40,28760,36,9186,37.263432,6.676220999999998,34462.609910606625,11007.4247092779
"10.0.1.200",34896,"10.0.1.45",830,68,24650,35,15662,33,8988,37.263861,6.603928000000003,18972.95064391979,10888.065405922045
"10.0.1.200",54334,"10.0.1.60",830,67,25992,35,17070,32,8922,37.269392,6.565982999999996,20798.104411784207,10870.57337796946
"10.0.1.200",48416,"10.0.1.68",830,77,45528,39,36222,38,9306,37.299506,6.863825999999996,42217.853424606066,10846.428799331457
"10.0.1.200",45716,"10.0.1.15",830,75,39288,37,29970,38,9318,37.311306,6.716028999999999,35699.6671693943,11099.416038852723
"10.0.1.200",34600,"10.0.1.59",830,69,27548,35,18494,34,9054,37.315426,6.636012999999998,22295.31497301166,10914.987659005494
"10.0.1.200",40200,"10.0.1.5",830,73,44836,37,35650,36,9186,37.317256,6.786178999999997,42026.59552599484,10829.068906081025
"10.0.1.200",51124,"10.0.1.34",830,78,49422,41,40170,37,9252,37.323715,6.771672000000002,47456.52181617773,10930.239976183131
"10.0.1.200",51874,"10.0.1.46",830,81,51044,43,41726,38,9318,37.328078,6.843257000000001,48779.11205146905,10893.058670746983
"10.0.1.200",43376,"10.0.1.81",830,76,47866,39,38614,37,9252,37.357812,6.797539,45444.682259270594,10888.646611663426
"10.0.1.200",33546,"10.0.1.48",830,81,52452,42,43068,39,9384,37.39637,6.786990000000003,50765.361375219334,11061.162606693095
"10.0.1.200",54556,"10.0.1.32",830,78,53678,40,44360,38,9318,37.437899,6.789473000000001,52269.15255425568,10979.34994365542
"10.0.1.200",37426,"10.0.1.8",830,72,53758,41,44914,31,8844,38.734457,5.576881,64428.84472521468,12686.661235913049
