"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.000432","192.168.123.43","192.168.123.23","TCP","74","57838  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2451475353 TSecr=0 WS=128"
"4","0.000481","192.168.123.23","192.168.123.43","TCP","74","666  >  57838 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3120115143 TSecr=2451475353 WS=128"
"5","0.000521","192.168.123.43","192.168.123.23","TCP","66","57838  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2451475354 TSecr=3120115143"
"6","0.000874","192.168.123.43","192.168.123.23","TLSv1.3","353","Client Hello"
"7","0.000974","192.168.123.23","192.168.123.43","TCP","66","666  >  57838 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=3120115143 TSecr=2451475354"
"8","0.003062","192.168.123.23","192.168.123.43","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"9","0.003110","192.168.123.43","192.168.123.23","TCP","66","57838  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2451475356 TSecr=3120115145"
"10","0.004918","192.168.123.43","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
"11","0.004956","192.168.123.23","192.168.123.43","TCP","66","666  >  57838 [ACK] Seq=1399 Ack=978 Win=64256 Len=0 TSval=3120115147 TSecr=2451475358"
"12","0.005876","192.168.123.23","192.168.123.43","TLSv1.3","769","Application Data"
"13","0.005914","192.168.123.43","192.168.123.23","TCP","66","57838  >  666 [ACK] Seq=978 Ack=2102 Win=64128 Len=0 TSval=2451475359 TSecr=3120115148"
"14","0.006088","192.168.123.23","192.168.123.43","TLSv1.3","769","Application Data"
"15","0.006115","192.168.123.43","192.168.123.23","TCP","66","57838  >  666 [ACK] Seq=978 Ack=2805 Win=64128 Len=0 TSval=2451475359 TSecr=3120115148"
"18","0.088518","192.168.123.36","192.168.123.23","TCP","74","44074  >  666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2491873900 TSecr=0 WS=128"
"19","0.088549","192.168.123.23","192.168.123.36","TCP","74","666  >  44074 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2354025945 TSecr=2491873900 WS=128"
"20","0.088575","192.168.123.36","192.168.123.23","TCP","66","44074  >  666 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2491873901 TSecr=2354025945"
"21","0.088801","192.168.123.36","192.168.123.23","TLSv1.3","353","Client Hello"
"22","0.088866","192.168.123.23","192.168.123.36","TCP","66","666  >  44074 [ACK] Seq=1 Ack=288 Win=64896 Len=0 TSval=2354025945 TSecr=2491873901"
"23","0.090293","192.168.123.23","192.168.123.36","TLSv1.3","1464","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"24","0.090320","192.168.123.36","192.168.123.23","TCP","66","44074  >  666 [ACK] Seq=288 Ack=1399 Win=64128 Len=0 TSval=2491873903 TSecr=2354025947"
"25","0.091800","192.168.123.36","192.168.123.23","TLSv1.3","756","Change Cipher Spec, Application Data, Application Data, Application Data"
